,ID,setting_name,openml_id,learner_name,sampling_strategy_name,test_split_seed,train_split_seed,seed,iteration,test_accuracy,test_f1,test_precision,test_recall,test_auc,test_log_loss
61,5354,small,11,rf_entropy,random,0,0,0,19,0.83091787,0.80402755,0.78143922,0.83091787,0.81001186,0.55673943
62,5355,small,11,rf_entropy,random,0,0,0,20,0.84541063,0.82072707,0.80387571,0.84541063,0.81074423,0.54840313
63,2395,small,12,rf_entropy,random,0,0,0,0,0.79393939,0.79422884,0.8086457,0.79393939,0.96531604,1.08441958
64,2396,small,12,rf_entropy,random,0,0,0,1,0.79242424,0.79083171,0.80537965,0.79242424,0.97510713,1.05681202
65,2397,small,12,rf_entropy,random,0,0,0,2,0.78181818,0.78083347,0.79604703,0.78181818,0.97109606,1.04513875
66,2398,small,12,rf_entropy,random,0,0,0,3,0.82121212,0.82257146,0.83208936,0.82121212,0.97407662,1.02361777
67,2399,small,12,rf_entropy,random,0,0,0,4,0.78484848,0.78338542,0.79482737,0.78484848,0.96866264,1.08140896
68,2400,small,12,rf_entropy,random,0,0,0,5,0.80757576,0.80746817,0.81810245,0.80757576,0.97689521,0.99291018
69,2401,small,12,rf_entropy,random,0,0,0,6,0.79848485,0.79837761,0.80951194,0.79848485,0.97458933,0.99547581
70,2402,small,12,rf_entropy,random,0,0,0,7,0.80757576,0.80620438,0.82006622,0.80757576,0.97797801,0.97640445
71,2403,small,12,rf_entropy,random,0,0,0,8,0.80757576,0.80733064,0.82393698,0.80757576,0.97613891,0.97011922
72,2404,small,12,rf_entropy,random,0,0,0,9,0.81818182,0.81767074,0.82818966,0.81818182,0.97538006,0.95059165
73,2405,small,12,rf_entropy,random,0,0,0,10,0.81060606,0.81075284,0.8182642,0.81060606,0.97720768,0.95630489
74,2406,small,12,rf_entropy,random,0,0,0,11,0.81363636,0.81258278,0.82194243,0.81363636,0.97699214,0.9477793
75,2407,small,12,rf_entropy,random,0,0,0,12,0.8,0.80099848,0.82115411,0.8,0.97750485,1.03189465
76,2408,small,12,rf_entropy,random,0,0,0,13,0.79848485,0.79853484,0.81354898,0.79848485,0.97586726,0.98923251
77,2409,small,12,rf_entropy,random,0,0,0,14,0.8030303,0.80151706,0.81045316,0.8030303,0.97698322,0.93554087
78,2410,small,12,rf_entropy,random,0,0,0,15,0.80606061,0.80441779,0.817284,0.80606061,0.97899321,0.90246116
79,2411,small,12,rf_entropy,random,0,0,0,16,0.81363636,0.81311717,0.82252927,0.81363636,0.97965641,0.90127292
80,2412,small,12,rf_entropy,random,0,0,0,17,0.82272727,0.82257968,0.83428439,0.82272727,0.98156821,0.89119908
81,2413,small,12,rf_entropy,random,0,0,0,18,0.83939394,0.83952487,0.85069982,0.83939394,0.98356035,0.86708168
82,2414,small,12,rf_entropy,random,0,0,0,19,0.83939394,0.8388497,0.85556068,0.83939394,0.9807864,0.91208332
83,2415,small,12,rf_entropy,random,0,0,0,20,0.82121212,0.81988322,0.83266822,0.82121212,0.98036425,0.8441665
84,925,small,14,rf_entropy,random,0,0,0,0,0.52727273,0.52002612,0.53266297,0.52727273,0.87182303,1.66509237
85,926,small,14,rf_entropy,random,0,0,0,1,0.51212121,0.49560212,0.50290378,0.51212121,0.85685517,1.68781761
86,927,small,14,rf_entropy,random,0,0,0,2,0.53787879,0.52741106,0.53914095,0.53787879,0.86241838,1.65573584
87,928,small,14,rf_entropy,random,0,0,0,3,0.5,0.48351841,0.4957121,0.5,0.85543822,1.68484726
88,929,small,14,rf_entropy,random,0,0,0,4,0.48181818,0.46115092,0.48406565,0.48181818,0.84608458,1.68776862
89,930,small,14,rf_entropy,random,0,0,0,5,0.53333333,0.51731297,0.54355278,0.53333333,0.87567213,1.62007971
90,931,small,14,rf_entropy,random,0,0,0,6,0.5469697,0.51795788,0.53627764,0.5469697,0.87563514,1.62517228
91,932,small,14,rf_entropy,random,0,0,0,7,0.59242424,0.57305162,0.58993443,0.59242424,0.8789575,1.5882734
92,933,small,14,rf_entropy,random,0,0,0,8,0.59090909,0.56301929,0.57675704,0.59090909,0.8858165,1.55232679
93,934,small,14,rf_entropy,random,0,0,0,9,0.59090909,0.57657269,0.60333636,0.59090909,0.89924242,1.60124854
